file,winner,F1,F2,F3,edit
b01ae,15,15,15,11,0
b01ah,18,18,18,18,0
b01aw,12,12,12,12,0
b01eh,14,14,14,14,0
b01ei,14,14,14,14,0
b01er,12,12,12,12,0
b01ih,11,11,11,11,0
b01iy,12,12,12,12,0
b01oa,12,12,12,12,0
b01oo,12,12,12,12,0
b01uh,12,12,12,12,0
b01uw,12,12,12,12,0
b02ae,13,17,13,13,0
b02ah,17,17,17,17,0
b02aw,14,14,14,14,0
b02eh,12,12,12,12,0
b02ei,16,16,16,16,0
b02er,4,4,4,4,0
b02ih,12,12,12,12,0
b02iy,8,8,8,8,0
b02oa,13,13,13,13,0
b02oo,9,9,9,9,0
b02uh,18,18,18,18,0
b02uw,7,7,7,7,0
b03ae,20,20,20,20,0
b03ah,18,18,18,18,0
b03aw,18,18,18,18,0
b03eh,18,18,18,18,0
b03ei,4,4,4,4,0
b03er,16,16,16,16,0
b03ih,12,12,12,12,0
b03iy,19,19,19,19,0
b03oa,12,12,12,12,0
b03oo,14,14,14,14,0
b03uh,16,16,16,16,0
b03uw,10,10,10,10,0
b04ae,15,15,15,15,0
b04ah,16,16,16,16,0
b04aw,16,16,16,16,0
b04eh,16,16,16,16,0
b04ei,16,16,16,16,0
b04er,16,16,16,16,0
b04ih,12,12,12,12,0
b04iy,12,12,12,12,0
b04oa,12,12,12,12,0
b04oo,12,12,12,12,0
b04uh,12,12,12,12,0
b04uw,12,12,12,12,0
b05ae,16,16,16,16,0
b05ah,16,16,16,16,0
b05aw,14,14,14,14,0
b05eh,14,14,14,14,0
b05ei,12,12,12,12,0
b05er,10,10,10,10,0
b05ih,12,12,12,12,0
b05iy,9,9,9,9,0
b05oa,8,8,8,8,0
b05oo,9,9,9,9,0
b05uh,12,12,12,12,0
b05uw,10,4,7,10,0
b07ae,20,20,20,20,0
b07ah,16,16,16,16,0
b07aw,16,16,16,16,0
b07eh,16,16,16,16,0
b07ei,16,16,16,16,0
b07er,12,12,12,12,0
b07ih,16,16,16,16,0
b07iy,8,8,8,8,0
b07oa,12,12,12,12,0
b07oo,12,12,12,12,0
b07uh,11,11,11,11,0
b07uw,12,12,12,12,0
b08ae,12,12,12,12,0
b08ah,1,1,1,1,0
b08aw,10,10,10,10,0
b08eh,16,16,16,16,0
b08ei,10,10,10,10,0
b08er,6,6,6,6,0
b08ih,16,16,16,16,0
b08iy,16,16,16,16,0
b08oa,8,8,8,8,0
b08oo,7,7,7,7,0
b08uh,9,9,9,9,0
b08uw,8,8,8,8,0
b09ae,18,18,18,18,0
b09ah,14,14,14,14,0
b09aw,12,12,12,12,0
b09eh,14,14,14,14,0
b09ei,10,10,10,10,0
b09er,8,8,8,8,0
b09ih,12,12,12,12,0
b09iy,12,12,12,12,0
b09oa,12,12,12,12,0
b09oo,12,12,12,12,0
b09uh,12,12,12,12,0
b09uw,10,10,10,10,0
b10ae,15,15,15,15,0
b10ah,16,16,14,16,0
b10aw,8,8,8,8,0
b10eh,13,13,13,13,0
b10ei,16,16,16,16,0
b10er,8,8,8,8,0
b10ih,12,12,12,12,0
b10iy,13,13,13,13,0
b10oa,8,8,8,8,0
b10oo,8,8,8,8,0
b10uh,19,19,19,19,0
b10uw,12,12,12,12,0
b11ae,18,18,18,18,0
b11ah,10,10,10,10,0
b11aw,15,15,15,15,0
b11eh,17,17,17,17,0
b11ei,16,16,16,16,0
b11er,12,12,12,12,0
b11ih,12,12,12,12,0
b11iy,12,12,12,12,0
b11oa,12,12,12,12,0
b11oo,12,12,12,12,0
b11uh,12,12,12,12,0
b11uw,9,9,9,9,0
b12ae,17,17,17,17,0
b12ah,18,18,18,18,0
b12aw,16,16,16,16,0
b12eh,19,19,19,19,0
b12ei,16,16,16,16,0
b12er,15,15,15,15,0
b12ih,16,16,16,16,0
b12iy,12,12,12,12,0
b12oa,12,12,12,12,0
b12oo,16,16,16,16,0
b12uh,19,19,19,19,0
b12uw,15,15,15,15,0
b13ae,16,16,16,16,0
b13ah,14,14,14,14,0
b13aw,12,12,12,12,0
b13eh,16,16,16,16,0
b13ei,16,16,16,16,0
b13er,14,14,14,14,0
b13ih,16,16,16,16,0
b13iy,12,12,12,12,0
b13oa,8,8,8,8,0
b13oo,12,12,12,1,0
b13uh,15,15,15,15,0
b13uw,8,8,8,8,0
b14ae,18,18,18,18,0
b14ah,10,10,15,10,0
b14aw,15,15,15,12,0
b14eh,12,12,12,12,0
b14ei,12,12,12,12,0
b14er,8,8,8,8,0
b14ih,11,11,11,11,0
b14iy,12,12,12,12,0
b14oa,12,12,12,12,0
b14oo,8,8,8,8,0
b14uh,17,17,17,17,0
b14uw,10,10,10,10,0
b15ae,15,15,15,15,0
b15ah,16,16,16,16,0
b15aw,16,16,16,16,0
b15eh,14,14,14,14,0
b15ei,12,12,12,12,0
b15er,8,8,8,8,0
b15ih,12,12,12,12,0
b15iy,17,17,17,17,0
b15oa,9,9,9,9,0
b15oo,8,8,8,8,0
b15uh,18,18,18,18,0
b15uw,8,8,8,8,0
b16ae,15,15,15,15,0
b16ah,10,10,10,10,0
b16aw,9,9,9,9,0
b16eh,16,16,16,16,0
b16ei,16,16,16,16,0
b16er,4,4,4,4,0
b16ih,12,12,12,12,0
b16iy,8,8,8,8,0
b16oa,8,8,8,8,0
b16oo,12,12,12,12,0
b16uh,19,19,19,19,0
b16uw,8,8,8,8,0
b17ae,12,12,12,14,0
b17ah,12,12,12,12,0
b17aw,15,15,15,15,0
b17eh,16,16,16,16,0
b17ei,14,14,14,14,0
b17er,8,8,8,8,0
b17ih,12,12,12,12,0
b17iy,12,12,12,12,0
b17oa,8,8,8,8,0
b17oo,7,7,7,7,0
b17uh,13,13,13,13,0
b17uw,7,7,7,7,0
b18ae,15,15,15,15,0
b18ah,16,16,16,16,0
b18aw,15,15,15,15,0
b18eh,16,16,16,16,0
b18ei,15,15,15,15,0
b18er,8,8,8,8,0
b18ih,12,12,12,12,0
b18iy,12,12,12,12,0
b18oa,12,12,12,12,0
b18oo,10,10,10,10,0
b18uh,12,12,12,12,0
b18uw,10,10,10,10,0
b19ae,18,18,18,13,0
b19ah,16,16,16,16,0
b19aw,12,12,12,12,0
b19eh,14,14,14,14,0
b19ei,16,16,16,16,0
b19er,8,8,8,8,0
b19ih,12,12,12,12,0
b19iy,12,12,12,12,0
b19oa,12,12,12,12,0
b19oo,16,16,16,16,0
b19uh,12,12,12,12,0
b19uw,11,11,11,11,0
b21ae,18,18,18,18,0
b21ah,10,10,10,10,0
b21aw,8,8,8,8,0
b21eh,14,14,14,14,0
b21ei,12,12,12,12,0
b21er,12,12,12,12,0
b21ih,12,12,12,12,0
b21iy,12,12,12,12,0
b21oa,12,12,12,12,0
b21oo,8,8,8,8,0
b21uh,8,8,8,8,0
b21uw,6,6,6,6,0
b22ae,14,14,14,14,0
b22ah,16,16,16,16,0
b22aw,12,12,12,12,0
b22eh,14,14,14,14,0
b22ei,12,12,12,12,0
b22er,8,8,8,8,0
b22ih,12,12,12,12,0
b22iy,12,12,12,12,0
b22oa,12,12,12,12,0
b22oo,12,12,12,12,0
b22uh,11,16,16,16,0
b22uw,9,9,9,9,0
b23ae,20,20,20,20,0
b23ah,18,18,18,18,0
b23aw,14,14,14,14,0
b23eh,16,16,16,16,0
b23ei,16,16,16,16,0
b23er,12,12,12,12,0
b23ih,14,14,14,14,0
b23iy,16,16,16,16,0
b23oa,16,16,16,16,0
b23oo,12,12,12,12,0
b23uh,14,14,14,14,0
b23uw,11,11,11,11,0
b24ae,17,17,17,17,0
b24ah,12,12,12,12,0
b24aw,8,8,8,8,0
