e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
364.7,168.3,191.3,276.1,375.3,440.1,735.2,532.8,467.7,544.3,53,52.3,54.1,58.7,62.6,65.9,65.6,66.5,69.3,81.5
139.8,159.1,223.4,210.6,222.9,292.6,338.5,594.2,361,271.5,187,172.2,285.3,274.9,243.9,66.1,60.8,57.8,54.7,56.2
10164.5,10188.6,10207.8,130.8,108.2,208,459.8,315.7,146.3,195.8,62.7,63.1,65.1,65.6,67.2,62.8,63.5,67.7,79.5,97.2
300.2,315.1,436.4,402.4,291.3,403.1,653.2,986.1,61.2,62.6,61.5,60.3,57.1,56.4,52.9,60,67.7,87.9,94.8,76.1
266.1,366.1,327.4,397.2,631.7,458,463.2,630.2,512.1,334,285.5,121.5,164.5,79.3,79.9,87,98.6,112.7,253.2,218.2
327.8,347.9,276.2,251.2,198.8,220.7,46.2,45.2,44,38.3,40.6,48.1,56.2,66.2,77.3,138.9,171.9,209.8,242.4,261.3
118.3,89,95.2,212.1,270.2,233.2,253.2,299.4,295.2,206.6,53,48.6,45.2,41.7,42.6,44.5,49.1,63.9,70.5,67.3
141.4,183.2,229,343,302.3,250.7,317.1,239.5,62.2,55.7,52.4,48.3,47.4,54.4,54.1,56.5,58.8,62.8,72.5,86.6
10319.5,10445.3,10277.5,10533.5,518.7,617.6,394.8,383.3,314.8,218.7,217.5,50.4,53.1,54,50.8,45.4,43.7,46.1,52.1,61.4
335.6,329.3,251.4,232.8,239.3,254.4,305.6,44.7,45.3,44.7,41.7,45,43.6,45.7,72,68.7,73.8,55.2,56.7,57.7
10081.3,10077.3,10053.5,10051.9,10061.6,10201,568.3,180.9,68.5,63.8,65.1,79,103.4,122.3,126.9,248,185.1,147.6,115,103.1
152.7,147.6,138.6,100.9,97.2,330.6,351.7,386.8,191.3,55.3,52.4,54.7,59.9,64.1,60.3,67.9,72.2,98.3,82.7,85.1
334.7,407.8,362.8,265.4,572.3,530.8,407.7,306.4,291.7,416.4,495.9,423.8,317.6,326.9,395.1,436.4,411.9,519.2,512.1,562.5
10129.8,10140.6,10148.2,10142.2,10145.4,10149.4,10160.8,10475.7,261.6,190.9,160.5,198,207.4,239.8,210.2,175.3,142.7,157,190.3,248.1
10154.9,10220.6,10280,10374.5,10543.5,10597.7,762.9,429.3,282.8,214.4,74.7,77,91.6,105,110.1,172,241.7,202.9,196.9,196
122.4,121.7,90.3,62.9,69.9,246.4,669.7,483.2,380.7,151.7,62.5,60.5,61.6,62.5,61.8,60.6,74.1,122.5,120,104
228.4,206.1,204.7,322.3,542.2,496,667.4,299.4,312.4,224.6,95.7,90.6,85.1,83,85.4,92.8,119.2,205.1,227.6,249.9
75,78,197.3,95.9,92.5,100.3,109.5,123,138.7,155.8,168.8,188.5,187.5,206,214.7,221.5,232.9,216.6,230.4,270.6
178.6,193.4,274.3,355.9,298.9,436.2,401,441.9,352.2,99.5,68.6,59.2,58.5,60.5,69.4,81.8,101.4,129.9,156.1,134.4
686.4,723.7,566.3,513.9,224.5,188.8,163,146.3,138.2,127.4,113.5,105.5,100.5,112,115.4,128.7,318.1,357.3,319.9,342.7
10327,10308.4,10392.9,10212.1,208.1,302.7,367.3,138.4,87.1,96.3,111.7,121.6,116.1,114.6,119.4,122.5,124,114.8,111.2,156.4
264.9,259,579.2,443.8,331.5,171,58.6,58,58.2,57.1,56.7,56.4,57.1,60.5,66.3,72.4,80.6,88.8,96.5,103.6
157.1,167.2,177.3,206.9,10305.4,10114.1,10138.1,476,506.3,783.8,784.3,124.3,111.5,108.8,91.9,67.1,64.1,72.7,82.2,90.5
